ID,Group,Wave,Yr,Age(Yr),Training (hr),PPPP.points,PPPP.HL,PPPP.G,PPPP.plat,Duck.points,Duck.HL,Duck.G,Duck.plat,TT.points,TT.HL,TT.G,TT.plat,ML.points,ML.HL,ML.G,ML.plat,MT.points,MT.longSeq,MT.avgLeng,GA.points,GA.longSeq,GA.avgLeng,TC.Score,TC.Stars,TC.Avg.Acc,TC.Avg.WPM,TC.Attempts
313,C8,C,5,10.286,10.667,5825,59,58,1,4230,29,28,1,418,9,5,4,1029,12,9,3,307,8,4.1,580,7,3.13,,,,,
314,C8,C,5,10.644,10,3688,47,44,3,5216,32,30,2,3543,20,16,4,3572,20,17,3,175,6,3.2,243,6,3.14,,,,,
315,C8,C,5,10.256,10,5646,58,56,2,4015,28,27,1,725,9,8,1,3583,20,17,3,613,7,3.44,94,6,3.67,,,,,
316,C8,C,3,8.65,10.083,5297,59,49,10,722,15,8,7,603,9,7,2,1237,12,8,5,395,5,2.2,410,5,2.13,,,,,
317,TC,C,3,9.108,10.667,,,,,,,,,,,,,,,,,,,,,,,69723,150,0.97,13,1111
318,TC,C,5,10.544,9.667,,,,,,,,,,,,,,,,,,,,,,,135829,257,0.97,18,483
319,TC,C,5,10.689,10,,,,,,,,,,,,,,,,,,,,,,,185277,338,0.98,22,308
320,TC,C,5,10.306,9.667,,,,,,,,,,,,,,,,,,,,,,,166323,306,0.97,21,370
321,TC,C,5,10.428,10.333,,,,,,,,,,,,,,,,,,,,,,,228520,371,0.96,22,371
322,TC,C,5,11.111,10.333,,,,,,,,,,,,,,,,,,,,,,,152734,277,0.96,19,846
323,TC,C,3,8.694,10,,,,,,,,,,,,,,,,,,,,,,,41533,90,0.97,11,564
324,TC,C,3,8.378,10,,,,,,,,,,,,,,,,,,,,,,,129969,257,0.98,18,590
325,TC,C,3,8.597,10.667,,,,,,,,,,,,,,,,,,,,,,,163329,286,0.98,19,659
326,TC,C,5,10.625,10.333,,,,,,,,,,,,,,,,,,,,,,,225965,389,0.98,25,543
327,TC,C,3,8.403,10,,,,,,,,,,,,,,,,,,,,,,,72834,152,0.97,14,534
328,TC,C,5,10.8,10.667,,,,,,,,,,,,,,,,,,,,,,,181169,315,0.96,23,629
329,TC,C,5,10.219,8.333,,,,,,,,,,,,,,,,,,,,,,,177894,323,0.97,22,607
401,C8,D,5,10.967,10,7074,65,65,0,4960,31,31,0,4155,21,17,4,4088,20,17,3,357,5,3,118,5,3,,,,,
404,C8,D,3,9.031,10,4263,51,49,2,4311,30,25,5,848,10,9,1,3651,20,14,8,290,6,2.71,207,5,3,,,,,
406,C8,D,3,9.039,11,6757,64,59,5,2262,21,20,1,4303,20,19,2,4410,21,20,1,385,6,2.78,385,6,3,,,,,
407,C8,D,5,11.394,10.333,10956,81,81,0,1482,17,16,1,4287,22,18,4,4143,20,19,2,373,7,3.36,417,7,3,,,,,
408,C8,D,3,8.183,10.667,1380,33,13,20,1749,20,9,11,467,10,4,6,1018,14,5,11,467,6,3,303,5,2.88,,,,,
409,C8,D,5,10.317,10,6476,63,63,0,5610,33,33,0,17580,39,40,0,5730,23,23,0,172,7,4.67,351,7,4,,,,,
410,C8,D,5,10.628,10.75,6652,63,63,0,6592,36,35,1,4770,21,21,0,4660,21,21,1,772,8,4.38,497,7,3.55,,,,,
411,C8,D,3,8.675,10.667,4367,51,48,3,4197,30,26,4,2772,16,14,3,3635,19,16,4,732,6,2.9,363,6,3.78,,,,,
412,C8,D,5,10.733,10,4353,51,48,3,4214,30,25,5,4187,20,19,1,3988,20,18,3,414,6,3.08,242,5,3,,,,,
414,C8,D,5,10.3,8,4374,51,51,0,3241,25,24,1,4303,21,19,2,4110,20,18,2,145,6,3,263,6,3.5,,,,,
415,TC,D,3,9.467,10,,,,,,,,,,,,,,,,,,,,,,,107604,207,0.96,16,279
416,TC,D,5,10.842,10,,,,,,,,,,,,,,,,,,,,,,,234254,385,0.96,25,488
417,TC,D,5,10.758,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,TC,D,3,8.553,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,TC,D,5,10.847,10.333,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,TC,D,3,8.886,10.333,,,,,,,,,,,,,,,,,,,,,,,180550,347,0.97,21,542
421,TC,D,5,11.328,10,,,,,,,,,,,,,,,,,,,,,,,213752,369,0.98,22,261
422,TC,D,3,8.778,10,,,,,,,,,,,,,,,,,,,,,,,116803,229,0.97,17,457
423,TC,D,5,11.125,10,,,,,,,,,,,,,,,,,,,,,,,228658,393,0.96,24,703
424,TC,D,5,10.425,11,,,,,,,,,,,,,,,,,,,,,,,135379,257,0.97,18,510
425,TC,D,3,8.7,10,,,,,,,,,,,,,,,,,,,,,,,125693,239,0.96,16,438
426,TC,D,5,10.906,10.333,,,,,,,,,,,,,,,,,,,,,,,192150,338,0.97,24,501
427,TC,D,3,8.514,10.667,,,,,,,,,,,,,,,,,,,,,,,195689,353,0.99,23,382
428,TC,D,5,11.186,10,,,,,,,,,,,,,,,,,,,,,,,287122,460,0.98,27,562
429,TC,D,3,8.581,10,,,,,,,,,,,,,,,,,,,,,,,107156,218,0.97,17,479
430,TC,D,5,10.256,10,,,,,,,,,,,,,,,,,,,,,,,199721,360,0.96,24,347
